rank	formulaRank	ConfidenceScore	CSI:FingerIDScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags
1	1	0.18039616659646043	-5.482947567337744	C15H10O7	[M - H]-	REFJWTPEDVJJIY	InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H	Quertine	C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	1.36698294	5280343;12305312;21600688;49849859;49849860;46906036;59574960;88462991;91069955;101792073;101792074;130367129	HMDB:(5794);PubChem class - food;SuperNatural:(SN00005729);ZINC bio:(ZINC03869685);additional;HSDB:(117-39-5);MeSH:(5280343);Plantcyc:(CPD-520);PubMed;NORMAN:(NS00001142);COCONUT:(CNP0096342 CNP0103504);KNApSAcK:(4631);Natural Products:(UNPD49205);PubChem:(5280343 12305312 21600688 49849859 49849860 46906036 59574960 88462991 91069955 101792073 101792074 130367129);CHEBI:(57694 16243);PubChem class - bio and metabolites;KEGG:(C00389);PubChem class - safety and toxic;YMDB:(1777);Training Set;PubChem class - drug;Biocyc:(CPD3IU-9 CPD-520 CPD3IU-1)	255847294
2	1	N/A	-22.983258014958007	C15H10O7	[M - H]-	YXOLAZRVSSWPPT	InChI=1S/C15H10O7/c16-6-1-2-8(9(18)3-6)15-14(21)13(20)12-10(19)4-7(17)5-11(12)22-15/h1-5,16-19,21H	Al-Morin	C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	1.36698294	5281670;87564624	HMDB:(30796);SuperNatural:(SN00006042 SN00390900);ZINC bio:(ZINC03881558);additional;MeSH:(5281670);PubMed;NORMAN:(NS00015830);COCONUT:(CNP0160139 CNP0310279);KNApSAcK:(4624);Natural Products:(UNPD113789 UNPD177836);PubChem:(5281670 87564624);YMDB Mine;CHEBI:(75092);PubChem class - bio and metabolites;KEGG:(C10105);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-19531)	34447616382
3	1	N/A	-32.5033390604824	C15H10O7	[M - H]-	NULZZCUABWZIRV	InChI=1S/C15H10O7/c16-6-4-9(19)12-10(5-6)22-15(14(21)13(12)20)11-7(17)2-1-3-8(11)18/h1-5,16-19,21H	Viscidulin I	C1=CC(=C(C(=C1)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O	1.36698294	5320471	COCONUT:(CNP0266897);KNApSAcK:(4629);Natural Products:(UNPD140882);PubChem:(5320471);SuperNatural:(SN00020814);ZINC bio:(ZINC14644239);additional;MeSH:(5320471);Training Set;PubMed;KEGG Mine	8593662038
4	1	N/A	-32.53339734149898	C15H10O7	[M - H]-	MIRFNZKXFFLSRY	InChI=1S/C15H10O7/c16-6-3-9(18)13-10(19)5-11(22-12(13)4-6)7-1-2-8(17)15(21)14(7)20/h1-5,16-18,20-21H	4H-1-Benzopyran-4-one, 5,7-dihydroxy-2-(2,3,4-trihydroxyphenyl)-	C1=CC(=C(C(=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	1.38935614	18471844	COCONUT:(CNP0338015);HMDB:(126016);PubChem:(18471844);SuperNatural:(SN00020813);ZINC bio:(ZINC14644152);additional;PubChem class - bio and metabolites;Training Set;KEGG Mine	8610406410
5	1	N/A	-36.630581839420195	C15H10O7	[M - H]-	GQBHKCYUMNVAKI	InChI=1S/C15H10O7/c16-6-4-9(18)11-10(5-6)22-15(14(21)13(11)20)7-2-1-3-8(17)12(7)19/h1-5,16-19,21H	null	C1=CC(=C(C(=C1)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	1.36698294	129713895	PubChem:(129713895);KEGG Mine	8589934594
6	1	N/A	-36.76962882803227	C15H10O7	[M - H]-	RHTZDFORBKRGQU	InChI=1S/C15H10O7/c16-8-3-1-6(5-10(8)18)14-13(21)11(19)7-2-4-9(17)12(20)15(7)22-14/h1-5,16-18,20-21H	Melanoxetin	C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C(=C(C=C3)O)O)O)O)O	1.60000002	15560442	COCONUT:(CNP0240979);KNApSAcK:(4660);Natural Products:(UNPD38289);PubChem:(15560442);SuperNatural:(SN00287367);PubMed;KEGG Mine	8593113170
7	1	N/A	-48.260819459902336	C15H10O7	[M - H]-	UXOUKMQIEVGVLY	InChI=1S/C15H10O7/c16-7-1-6(2-8(17)3-7)15-14(21)13(20)12-10(19)4-9(18)5-11(12)22-15/h1-5,16-19,21H	2-(3,5-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one	C1=C(C=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	1.36698294	5481246	COCONUT:(CNP0181790);HMDB:(125206);Natural Products:(UNPD118778);PubChem:(5481246);SuperNatural:(SN00375634);PubChem class - bio and metabolites;PubMed	19955786
8	1	N/A	-49.68047184778186	C15H10O7	[M - H]-	ZOTOEZQUFYPBIW	InChI=1S/C15H10O7/c16-7-4-2-1-3-6(7)15-14(21)13(20)10-9(22-15)5-8(17)11(18)12(10)19/h1-5,16-19,21H	null	C1=CC=C(C(=C1)C2=C(C(=O)C3=C(C(=C(C=C3O2)O)O)O)O)O	1.36698294	""	KEGG Mine	8589934592
9	1	N/A	-51.98068381056683	C15H10O7	[M - H]-	GIYWDQALWZCPLY	InChI=1S/C15H10O7/c16-7-4-2-1-3-6(7)14-13(21)12(20)10-8(17)5-9(18)11(19)15(10)22-14/h1-5,16-19,21H	null	C1=CC=C(C(=C1)C2=C(C(=O)C3=C(O2)C(=C(C=C3O)O)O)O)O	1.36698294	""	KEGG Mine	8589934592
10	1	N/A	-53.69799272701226	C15H10O7	[M - H]-	ARSRJFRKVXALTF	InChI=1S/C15H10O7/c16-7-3-8(17)14-9(18)5-12(22-13(14)4-7)6-1-10(19)15(21)11(20)2-6/h1-5,16-17,19-21H	Hieracin	C1=C(C=C(C(=C1O)O)O)C2=CC(=O)C3=C(C=C(C=C3O2)O)O	1.38935614	5281701;46878558	HMDB:(29620);SuperNatural:(SN00020453);additional;MeSH:(5281701);Plantcyc:(CPD-12570);PubMed;NORMAN:(NS00015068);COCONUT:(CNP0164562 CNP0382636);KNApSAcK:(13328);Natural Products:(UNPD168469);PubChem:(5281701 46878558);CHEBI:(507499 60045);PubChem class - bio and metabolites;KEGG:(C10192);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-12570)	88000894
